Setting up Perceptual loss...
Loading model from: /home/mehmetturan/virasoft_projects/gaugan/segmentation/fat_pytorch_lit/FastGAN-pytorch/lpips/weights/v0.1/vgg.pth
...[net-lin [vgg]] initialized
...Done
Namespace(path='../fat_data/fat_detection/ann_dir/train/', cuda=0, name='test1', iter=100000, start_iter=0, batch_size=8, im_size=512, ckpt='None')
GAN: loss d: 8.26952    loss g: -3.64383
GAN: loss d: 8.66494    loss g: -3.63536
GAN: loss d: 9.04925    loss g: -3.52640
GAN: loss d: 9.60179    loss g: -3.09985
GAN: loss d: 9.17079    loss g: -3.23363
GAN: loss d: 7.81910    loss g: -2.73740
GAN: loss d: 8.29491    loss g: -3.66409
GAN: loss d: 9.18170    loss g: -4.30542
GAN: loss d: 8.99889    loss g: -3.74150
GAN: loss d: 9.64836    loss g: -4.26755
GAN: loss d: 9.14298    loss g: -2.90410
GAN: loss d: 8.87524    loss g: -3.20731
GAN: loss d: 9.23040    loss g: -4.62823
GAN: loss d: 8.32023    loss g: -3.55225
GAN: loss d: 9.52695    loss g: -4.24791
GAN: loss d: 9.17129    loss g: -3.89347
GAN: loss d: 9.48373    loss g: -4.10644
GAN: loss d: 8.91708    loss g: -4.40479
GAN: loss d: 7.75529    loss g: -4.77522
GAN: loss d: 6.84029    loss g: -4.55455
GAN: loss d: 8.70488    loss g: -3.85112
GAN: loss d: 8.41714    loss g: -4.21872
GAN: loss d: 9.05555    loss g: -3.92070
GAN: loss d: 9.14928    loss g: -3.01995
GAN: loss d: 9.25610    loss g: -3.65039
GAN: loss d: 8.98725    loss g: -4.44911
GAN: loss d: 8.73522    loss g: -4.17775
GAN: loss d: 7.28086    loss g: -3.08086
GAN: loss d: 9.40152    loss g: -4.20915
GAN: loss d: 9.24654    loss g: -4.67509
GAN: loss d: 8.94419    loss g: -4.52944
GAN: loss d: 8.51895    loss g: -4.31458
GAN: loss d: 9.48883    loss g: -3.95575
GAN: loss d: 8.94476    loss g: -3.21745
GAN: loss d: 8.67793    loss g: -4.11776
GAN: loss d: 8.82225    loss g: -4.55783
GAN: loss d: 8.60281    loss g: -4.09378
GAN: loss d: 9.26575    loss g: -4.60179
GAN: loss d: 9.00435    loss g: -4.67052
GAN: loss d: 8.45235    loss g: -4.66833
GAN: loss d: 8.44310    loss g: -4.65373
GAN: loss d: 8.96334    loss g: -4.52576
GAN: loss d: 9.59701    loss g: -4.94609
GAN: loss d: 7.92197    loss g: -5.49128
GAN: loss d: 7.52415    loss g: -3.00211
GAN: loss d: 8.66248    loss g: -4.79369
GAN: loss d: 7.17179    loss g: -4.67300
GAN: loss d: 8.75168    loss g: -4.77003
GAN: loss d: 7.92756    loss g: -4.55784
GAN: loss d: 8.98125    loss g: -4.68253
GAN: loss d: 7.64453    loss g: -4.34157
GAN: loss d: 8.68205    loss g: -4.23430
GAN: loss d: 8.78258    loss g: -4.39367
GAN: loss d: 8.07650    loss g: -4.33323
GAN: loss d: 10.25896    loss g: -3.70763
GAN: loss d: 8.85091    loss g: -4.58977
